timestamp,File Name, ASSEMBLY1_BIMANUAL, ASSEMBLY2_LEFT, BOLT_RIGHT, DELIVERY_BIMANUAL, DELIVERY_LEFT, HANDOVER_LEFT, IDLE_BIMANUAL, PICKUP_BIMANUAL, PICKUP_RIGHT, SCREW_RIGHT,a_right_backPose,b_right_backPose,c_right_backPose
1.6455446263105544e+18,frame_64.jpeg,0,0,0,0,0,0,1,0,0,0,-562.0,6318.0,-5135.0
1.6455446263596948e+18,frame_65.jpeg,0,0,0,0,0,0,1,0,0,0,-699.0,6359.0,-5185.0
1.6455446264067763e+18,frame_66.jpeg,0,0,0,0,0,0,1,0,0,0,-725.0,6333.0,-5187.0
1.6455446264597796e+18,frame_67.jpeg,0,0,0,0,0,0,1,0,0,0,-748.0,6352.0,-5154.0
1.645544626509755e+18,frame_68.jpeg,0,0,0,0,0,0,1,0,0,0,-695.0,6347.0,-5192.0
1.6455446265658084e+18,frame_69.jpeg,0,0,0,0,0,0,1,0,0,0,-680.0,6339.0,-5453.0
1.645544626602721e+18,frame_70.jpeg,0,0,0,0,0,0,1,0,0,0,-96.0,6622.0,-6760.0
1.6455446266583084e+18,frame_71.jpeg,0,0,0,0,0,0,1,0,0,0,-1017.0,10165.0,-8684.0
1.6455446267034337e+18,frame_72.jpeg,0,0,0,0,0,0,1,0,0,0,-2480.0,11976.0,-6825.0
1.6455446267557606e+18,frame_73.jpeg,0,0,0,0,0,0,1,0,0,0,-3462.0,13057.0,-5655.0
1.6455446268072028e+18,frame_74.jpeg,0,0,0,0,0,0,1,0,0,0,-5176.0,11886.0,-5285.0
1.6455446268608328e+18,frame_75.jpeg,0,0,0,0,0,0,1,0,0,0,-4725.0,8109.0,-3191.0
1.6455446269060695e+18,frame_76.jpeg,0,0,0,0,0,0,1,0,0,0,-3731.0,4451.0,-1619.0
1.6455446269611456e+18,frame_77.jpeg,0,0,0,0,0,0,1,0,0,0,-2800.0,-151.0,-893.0
1.645544627013067e+18,frame_78.jpeg,0,0,0,0,0,0,1,0,0,0,-1838.0,-1998.0,-704.0
1.6455446270595814e+18,frame_79.jpeg,0,0,0,0,0,0,1,0,0,0,-1919.0,-3631.0,-908.0
1.645544627105234e+18,frame_80.jpeg,0,0,0,0,0,0,1,0,0,0,-2844.0,-4332.0,-1437.0
1.6455446271576532e+18,frame_81.jpeg,0,0,0,0,0,0,1,0,0,0,-4648.0,-4258.0,-1849.0
1.6455446272062193e+18,frame_82.jpeg,0,0,0,0,0,0,1,0,0,0,-5221.0,-4654.0,-1888.0
1.6455446272606413e+18,frame_83.jpeg,0,0,0,0,0,0,1,0,0,0,-5104.0,-4650.0,-2561.0
1.6455446273020073e+18,frame_84.jpeg,0,0,0,0,0,0,1,0,0,0,-3093.0,-5242.0,-2003.0
1.6455446273600315e+18,frame_85.jpeg,0,0,0,0,0,0,1,0,0,0,361.0,-5477.0,-794.0
1.6455446274079127e+18,frame_86.jpeg,0,0,0,0,0,0,1,0,0,0,367.0,-3457.0,4.0
1.6455446274592965e+18,frame_87.jpeg,0,0,0,0,0,0,1,0,0,0,-1148.0,-54.0,-377.0
1.645544627504136e+18,frame_88.jpeg,0,0,0,0,0,0,1,0,0,0,-2624.0,3111.0,-1421.0
1.6455446275597524e+18,frame_89.jpeg,0,0,0,0,0,0,1,0,0,0,-4582.0,7479.0,-2866.0
1.6455446276155446e+18,frame_90.jpeg,0,0,0,0,0,0,1,0,0,0,-5662.0,12089.0,-4022.0
1.645544627660782e+18,frame_91.jpeg,0,0,0,0,0,0,1,0,0,0,-4401.0,12869.0,-5234.0
1.645544627711165e+18,frame_92.jpeg,0,0,0,0,0,0,1,0,0,0,-3218.0,11876.0,-5932.0
1.6455446277605345e+18,frame_93.jpeg,0,0,0,0,0,0,1,0,0,0,-1751.0,8962.0,-5228.0
1.645544627810489e+18,frame_94.jpeg,0,0,0,0,0,0,1,0,0,0,-403.0,7668.0,-5083.0
1.6455446278611315e+18,frame_95.jpeg,0,0,0,0,0,0,1,0,0,0,-1388.0,10415.0,-6314.0
1.645544627910678e+18,frame_96.jpeg,0,0,0,0,0,0,1,0,0,0,-710.0,7515.0,-5550.0
1.6455446279606748e+18,frame_97.jpeg,0,0,0,0,0,0,1,0,0,0,-854.0,6718.0,-5516.0
1.6455446280097623e+18,frame_98.jpeg,0,0,0,0,0,0,1,0,0,0,-1433.0,6700.0,-5523.0
1.645544628061156e+18,frame_99.jpeg,0,0,0,0,0,0,1,0,0,0,-1087.0,6391.0,-5131.0
1.6455446281099674e+18,frame_100.jpeg,0,0,0,0,0,0,1,0,0,0,-1039.0,6392.0,-5127.0
1.6455446281614587e+18,frame_101.jpeg,0,0,0,0,0,0,1,0,0,0,-1060.0,6351.0,-5047.0
1.645544628211041e+18,frame_102.jpeg,0,0,0,0,0,0,1,0,0,0,-412.0,5608.0,-4694.0
1.645544628260377e+18,frame_103.jpeg,0,0,0,0,0,0,1,0,0,0,-434.0,5856.0,-5744.0
1.6455446283097464e+18,frame_104.jpeg,0,0,0,0,0,0,1,0,0,0,-219.0,5042.0,-5319.0
1.645544628361855e+18,frame_105.jpeg,0,0,0,0,0,0,1,0,0,0,-2146.0,7452.0,-5252.0
1.6455446284111647e+18,frame_106.jpeg,0,0,0,0,0,0,1,0,0,0,-1632.0,7089.0,-5111.0
1.645544628462409e+18,frame_107.jpeg,0,0,0,0,0,0,1,0,0,0,-577.0,6148.0,-4874.0
1.645544628516001e+18,frame_108.jpeg,0,0,0,0,0,0,1,0,0,0,-777.0,6638.0,-4989.0
1.6455446285634307e+18,frame_109.jpeg,0,0,0,0,0,0,1,0,0,0,-622.0,6419.0,-4976.0
1.6455446286090926e+18,frame_110.jpeg,0,0,0,0,0,0,1,0,0,0,-916.0,6467.0,-5153.0
1.6455446286611973e+18,frame_111.jpeg,0,0,0,0,0,0,1,0,0,0,-689.0,6535.0,-4830.0
1.645544628710692e+18,frame_112.jpeg,0,0,0,0,0,0,1,0,0,0,-622.0,6448.0,-4906.0
1.6455446287627625e+18,frame_113.jpeg,0,0,0,0,0,0,1,0,0,0,-623.0,6502.0,-5079.0
1.6455446288143665e+18,frame_114.jpeg,0,0,0,0,0,0,1,0,0,0,-428.0,6447.0,-4891.0
1.6455446288596398e+18,frame_115.jpeg,0,0,0,0,0,0,1,0,0,0,-196.0,6467.0,-4999.0
1.6455446289109197e+18,frame_116.jpeg,0,0,0,0,0,0,1,0,0,0,-427.0,6450.0,-5046.0
1.6455446289623785e+18,frame_117.jpeg,0,0,0,0,0,0,1,0,0,0,-615.0,6379.0,-5139.0
1.645544629011533e+18,frame_118.jpeg,0,0,0,0,0,0,1,0,0,0,-575.0,6380.0,-5273.0
1.645544629063431e+18,frame_119.jpeg,0,0,0,0,0,0,1,0,0,0,-383.0,6358.0,-4958.0
1.6455446291103217e+18,frame_120.jpeg,0,0,0,0,0,0,1,0,0,0,-13.0,6346.0,-4962.0
1.6455446291611666e+18,frame_121.jpeg,0,0,0,0,0,0,1,0,0,0,1.0,6433.0,-5120.0
1.645544629211887e+18,frame_122.jpeg,0,0,0,0,0,0,1,0,0,0,-244.0,6418.0,-5038.0
1.645544629265652e+18,frame_123.jpeg,0,0,0,0,0,0,1,0,0,0,-131.0,6435.0,-5163.0
1.6455446293099976e+18,frame_124.jpeg,0,0,0,0,0,0,1,0,0,0,-265.0,6453.0,-5163.0
1.6455446293655785e+18,frame_125.jpeg,0,0,0,0,0,0,1,0,0,0,-308.0,6346.0,-5100.0
1.6455446294112184e+18,frame_126.jpeg,0,0,0,0,0,0,1,0,0,0,-200.0,6384.0,-5231.0
1.6455446294622495e+18,frame_127.jpeg,0,0,0,0,0,0,1,0,0,0,-247.0,6364.0,-5130.0
