timestamp,File Name,a_left_backPose,b_left_backPose,c_left_backPose, DELIVERY_RIGHT
1.6461449478705147e+18,frame_1137.jpeg,9578.0,2864.0,2057.0,1
1.6461449479296356e+18,frame_1138.jpeg,9616.0,3344.0,3767.0,1
1.6461449479666906e+18,frame_1139.jpeg,8897.0,3562.0,4349.0,1
1.6461449480250414e+18,frame_1140.jpeg,7049.0,3601.0,4479.0,1
1.6461449480721313e+18,frame_1141.jpeg,5446.0,3322.0,4783.0,1
1.646144948124525e+18,frame_1142.jpeg,4781.0,2206.0,4835.0,1
1.6461449481875684e+18,frame_1143.jpeg,4199.0,2124.0,4895.0,1
1.6461449482263094e+18,frame_1144.jpeg,3352.0,1943.0,5198.0,1
1.646144948271593e+18,frame_1145.jpeg,3911.0,3053.0,5297.0,1
1.646144948326999e+18,frame_1146.jpeg,3603.0,1674.0,5604.0,1
1.6461449483720632e+18,frame_1147.jpeg,3424.0,1381.0,5792.0,1
1.6461449484235497e+18,frame_1148.jpeg,3031.0,722.0,5802.0,1
1.64614494847572e+18,frame_1149.jpeg,3684.0,370.0,6157.0,1
1.646144948526375e+18,frame_1150.jpeg,3844.0,1129.0,6754.0,1
1.6461449485724813e+18,frame_1151.jpeg,4344.0,1076.0,7544.0,1
1.646144948625437e+18,frame_1152.jpeg,4687.0,1363.0,7756.0,1
1.6461449486769638e+18,frame_1153.jpeg,4607.0,1646.0,7656.0,1
1.646144948726922e+18,frame_1154.jpeg,4285.0,1324.0,7597.0,1
1.6461449487797663e+18,frame_1155.jpeg,4380.0,1537.0,7524.0,1
1.6461449488263772e+18,frame_1156.jpeg,4071.0,1411.0,7150.0,1
1.6461449488722737e+18,frame_1157.jpeg,3796.0,1005.0,6776.0,1
1.6461449489229747e+18,frame_1158.jpeg,3678.0,417.0,6086.0,1
1.6461449489684344e+18,frame_1159.jpeg,4546.0,-846.0,5485.0,1
1.6461449490251566e+18,frame_1160.jpeg,4284.0,-655.0,4841.0,1
1.6461449490763963e+18,frame_1161.jpeg,3401.0,-1406.0,4142.0,1
1.646144949124943e+18,frame_1162.jpeg,6314.0,-354.0,1243.0,1
1.646144949179515e+18,frame_1163.jpeg,7635.0,2695.0,-988.0,1
1.6461449492284375e+18,frame_1164.jpeg,7476.0,3935.0,-1727.0,1
1.6461449492608266e+18,frame_1165.jpeg,8147.0,5929.0,-2571.0,1
1.6461449493289044e+18,frame_1166.jpeg,8389.0,6101.0,-2599.0,1
1.6461449493790372e+18,frame_1167.jpeg,7350.0,4850.0,-2340.0,1
1.6461449494030766e+18,frame_1168.jpeg,6943.0,4472.0,-1986.0,1
1.6461449494816184e+18,frame_1169.jpeg,6849.0,4367.0,-1898.0,1
1.6461449495267702e+18,frame_1170.jpeg,6751.0,4249.0,-1781.0,1
1.646144949588582e+18,frame_1171.jpeg,6537.0,4900.0,52.0,1
1.6461449496257252e+18,frame_1172.jpeg,6275.0,6639.0,119.0,1
1.646144949675761e+18,frame_1173.jpeg,7071.0,7205.0,-1176.0,1
1.6461449497269335e+18,frame_1174.jpeg,8034.0,7924.0,-1959.0,1
1.6461449497807514e+18,frame_1175.jpeg,8553.0,6943.0,-1487.0,1
1.6461449498251638e+18,frame_1176.jpeg,9141.0,6020.0,-143.0,1
1.6461449498782254e+18,frame_1177.jpeg,9478.0,6090.0,2227.0,1
1.6461449499270792e+18,frame_1178.jpeg,6780.0,4166.0,5662.0,1
1.6461449499805965e+18,frame_1179.jpeg,4044.0,2657.0,5988.0,1
1.64614495002358e+18,frame_1180.jpeg,1297.0,-77.0,4559.0,1
1.6461449500801774e+18,frame_1181.jpeg,924.0,-2823.0,4428.0,1
1.6461449501265385e+18,frame_1182.jpeg,1034.0,-1627.0,5488.0,1
1.6461449501784049e+18,frame_1183.jpeg,118.0,-210.0,6481.0,1
1.6461449502247357e+18,frame_1184.jpeg,531.0,1909.0,7986.0,1
1.6461449502783058e+18,frame_1185.jpeg,-408.0,614.0,7962.0,1
1.6461449503241375e+18,frame_1186.jpeg,644.0,1214.0,7130.0,1
1.6461449503802465e+18,frame_1187.jpeg,1003.0,6147.0,5618.0,1
1.6461449504240407e+18,frame_1188.jpeg,332.0,2169.0,11354.0,1
1.6461449504792596e+18,frame_1189.jpeg,-34.0,2437.0,7054.0,1
1.6461449505240584e+18,frame_1190.jpeg,29.0,2014.0,8066.0,1
1.6461449505815933e+18,frame_1191.jpeg,-197.0,2756.0,8189.0,1
1.646144950624372e+18,frame_1192.jpeg,-158.0,1706.0,7822.0,1
1.6461449506783153e+18,frame_1193.jpeg,284.0,954.0,6625.0,1
1.646144950725213e+18,frame_1194.jpeg,-457.0,1540.0,6853.0,1
1.646144950772275e+18,frame_1195.jpeg,-35.0,2482.0,7171.0,1
1.646144950828645e+18,frame_1196.jpeg,676.0,5156.0,7928.0,1
1.6461449508794327e+18,frame_1197.jpeg,1874.0,4998.0,8649.0,1
1.6461449509291282e+18,frame_1198.jpeg,1695.0,4868.0,8454.0,1
1.6461449509792922e+18,frame_1199.jpeg,1863.0,4472.0,8380.0,1
1.646144951030917e+18,frame_1200.jpeg,1682.0,3932.0,7875.0,1
1.6461449510789292e+18,frame_1201.jpeg,1578.0,3777.0,7407.0,1
1.6461449511337836e+18,frame_1202.jpeg,1616.0,3659.0,7396.0,1
1.646144951177722e+18,frame_1203.jpeg,1687.0,3666.0,7457.0,1
1.6461449512294618e+18,frame_1204.jpeg,1689.0,3729.0,7678.0,1
1.646144951274089e+18,frame_1205.jpeg,1661.0,3607.0,7777.0,1
