timestamp,File Name,a_left_backPose,b_left_backPose,c_left_backPose, ASSEMBLY2_RIGHT
1.645543172879062e+18,frame_2054.jpeg,2105.0,3208.0,-7022.0,1
1.6455431729296415e+18,frame_2055.jpeg,2247.0,3359.0,-6828.0,1
1.6455431729785498e+18,frame_2056.jpeg,2115.0,3278.0,-7079.0,1
1.6455431730290778e+18,frame_2057.jpeg,2450.0,3161.0,-7084.0,1
1.6455431730776694e+18,frame_2058.jpeg,2480.0,3198.0,-6991.0,1
1.6455431731349837e+18,frame_2059.jpeg,2547.0,3389.0,-7047.0,1
1.6455431731818342e+18,frame_2060.jpeg,2485.0,3478.0,-6670.0,1
1.6455431732346967e+18,frame_2061.jpeg,2309.0,3338.0,-6751.0,1
1.6455431732765386e+18,frame_2062.jpeg,2497.0,3153.0,-6991.0,1
1.645543173333827e+18,frame_2063.jpeg,2594.0,3044.0,-6955.0,1
1.6455431733783534e+18,frame_2064.jpeg,2645.0,3149.0,-6943.0,1
1.6455431734354373e+18,frame_2065.jpeg,2561.0,3413.0,-6848.0,1
1.645543173477139e+18,frame_2066.jpeg,2504.0,3560.0,-6744.0,1
1.6455431735318546e+18,frame_2067.jpeg,2539.0,3498.0,-6765.0,1
1.6455431735776105e+18,frame_2068.jpeg,2534.0,3545.0,-6723.0,1
1.6455431736352868e+18,frame_2069.jpeg,2501.0,3523.0,-6747.0,1
1.6455431736823974e+18,frame_2070.jpeg,2617.0,3489.0,-6793.0,1
1.6455431737298478e+18,frame_2071.jpeg,2507.0,3320.0,-7077.0,1
1.6455431737816407e+18,frame_2072.jpeg,2963.0,3429.0,-6931.0,1
1.6455431738363313e+18,frame_2073.jpeg,3681.0,4086.0,-6800.0,1
1.6455431738830715e+18,frame_2074.jpeg,3533.0,3940.0,-6585.0,1
1.6455431739316088e+18,frame_2075.jpeg,3522.0,3329.0,-6386.0,1
1.645543173986441e+18,frame_2076.jpeg,4784.0,3218.0,-6058.0,1
1.6455431740168118e+18,frame_2077.jpeg,5799.0,3119.0,-5716.0,1
1.6455431740168118e+18,frame_2078.jpeg,5799.0,3119.0,-5716.0,1
1.6455431741491674e+18,frame_2079.jpeg,5672.0,3091.0,-5563.0,1
1.6455431741844306e+18,frame_2080.jpeg,4573.0,2920.0,-4841.0,1
1.6455431742362327e+18,frame_2081.jpeg,4913.0,2686.0,-5812.0,1
1.6455431742831416e+18,frame_2082.jpeg,6706.0,1991.0,-5786.0,1
1.645543174336943e+18,frame_2083.jpeg,5755.0,1267.0,-6070.0,1
1.6455431743872133e+18,frame_2084.jpeg,4915.0,818.0,-5877.0,1
1.6455431744314516e+18,frame_2085.jpeg,3957.0,395.0,-6119.0,1
1.6455431744858708e+18,frame_2086.jpeg,2266.0,-328.0,-6946.0,1
1.6455431745321116e+18,frame_2087.jpeg,3328.0,-188.0,-6582.0,1
1.6455431745816573e+18,frame_2088.jpeg,4705.0,1347.0,-5972.0,1
1.645543174630468e+18,frame_2089.jpeg,5904.0,1195.0,-6797.0,1
1.6455431746817288e+18,frame_2090.jpeg,5106.0,1594.0,-6560.0,1
1.6455431747306107e+18,frame_2091.jpeg,5503.0,1357.0,-5374.0,1
1.6455431747861563e+18,frame_2092.jpeg,6187.0,2559.0,-4601.0,1
1.6455431748312788e+18,frame_2093.jpeg,5802.0,3359.0,-4527.0,1
1.6455431748826278e+18,frame_2094.jpeg,5461.0,3229.0,-4933.0,1
1.6455431749335035e+18,frame_2095.jpeg,3916.0,3012.0,-5814.0,1
1.6455431749824676e+18,frame_2096.jpeg,4050.0,2440.0,-5980.0,1
1.64554317503141e+18,frame_2097.jpeg,4106.0,2084.0,-6385.0,1
1.6455431750819837e+18,frame_2098.jpeg,4359.0,1577.0,-6757.0,1
1.6455431751314176e+18,frame_2099.jpeg,5315.0,1294.0,-6497.0,1
1.6455431751831593e+18,frame_2100.jpeg,4427.0,1666.0,-6076.0,1
1.6455431752319332e+18,frame_2101.jpeg,4025.0,1664.0,-6262.0,1
1.6455431752832003e+18,frame_2102.jpeg,3949.0,1869.0,-6829.0,1
1.6455431753318868e+18,frame_2103.jpeg,4390.0,1598.0,-6992.0,1
1.6455431753831176e+18,frame_2104.jpeg,3828.0,1509.0,-6314.0,1
1.645543175430084e+18,frame_2105.jpeg,3185.0,1562.0,-6951.0,1
1.6455431754844483e+18,frame_2106.jpeg,4422.0,1900.0,-6811.0,1
1.6455431755300687e+18,frame_2107.jpeg,3818.0,2094.0,-6411.0,1
1.6455431755834816e+18,frame_2108.jpeg,4698.0,1823.0,-6439.0,1
1.645543175635866e+18,frame_2109.jpeg,3842.0,1831.0,-6969.0,1
1.6455431756824648e+18,frame_2110.jpeg,4265.0,1965.0,-6563.0,1
1.645543175736531e+18,frame_2111.jpeg,4188.0,2043.0,-6271.0,1
1.645543175783786e+18,frame_2112.jpeg,4258.0,1733.0,-6390.0,1
1.645543175836165e+18,frame_2113.jpeg,5041.0,1445.0,-6690.0,1
1.64554317588409e+18,frame_2114.jpeg,4447.0,1711.0,-6492.0,1
1.6455431759363218e+18,frame_2115.jpeg,4520.0,1583.0,-6561.0,1
1.6455431759873853e+18,frame_2116.jpeg,3874.0,1604.0,-6407.0,1
1.6455431760348646e+18,frame_2117.jpeg,3967.0,1591.0,-6400.0,1
1.6455431760801736e+18,frame_2118.jpeg,4268.0,1420.0,-6770.0,1
1.6455431761339717e+18,frame_2119.jpeg,4268.0,1603.0,-6396.0,1
1.6455431761846746e+18,frame_2120.jpeg,4398.0,1513.0,-6633.0,1
1.6455431762356342e+18,frame_2121.jpeg,4257.0,1567.0,-6620.0,1
1.645543176285998e+18,frame_2122.jpeg,3957.0,1184.0,-6672.0,1
1.64554317633438e+18,frame_2123.jpeg,4142.0,1410.0,-6698.0,1
1.64554317638367e+18,frame_2124.jpeg,3990.0,1597.0,-6604.0,1
1.6455431764354273e+18,frame_2125.jpeg,4267.0,1507.0,-6602.0,1
1.6455431764795732e+18,frame_2126.jpeg,4320.0,1258.0,-6870.0,1
1.6455431765338127e+18,frame_2127.jpeg,4354.0,1413.0,-6663.0,1
1.6455431765865275e+18,frame_2128.jpeg,4280.0,1603.0,-6512.0,1
1.645543176634357e+18,frame_2129.jpeg,4049.0,1517.0,-6654.0,1
1.6455431766841705e+18,frame_2130.jpeg,4244.0,1094.0,-7094.0,1
1.6455431767337828e+18,frame_2131.jpeg,3196.0,1635.0,-6537.0,1
1.6455431767849016e+18,frame_2132.jpeg,3720.0,1140.0,-7016.0,1
1.6455431768346465e+18,frame_2133.jpeg,4117.0,1872.0,-6963.0,1
1.6455431768837773e+18,frame_2134.jpeg,4041.0,2132.0,-6377.0,1
1.645543176935434e+18,frame_2135.jpeg,3321.0,2906.0,-5785.0,1
1.6455431769798884e+18,frame_2136.jpeg,1548.0,3399.0,-5822.0,1
1.6455431770345224e+18,frame_2137.jpeg,5658.0,1313.0,-6602.0,1
1.6455431770839386e+18,frame_2138.jpeg,4164.0,1348.0,-8060.0,1
1.6455431771342267e+18,frame_2139.jpeg,4106.0,582.0,-7531.0,1
1.6455431771917542e+18,frame_2140.jpeg,2531.0,1674.0,-7350.0,1
1.645543177234533e+18,frame_2141.jpeg,2065.0,783.0,-7169.0,1
1.6455431772887066e+18,frame_2142.jpeg,3210.0,1469.0,-7120.0,1
1.64554317733483e+18,frame_2143.jpeg,3196.0,1218.0,-7366.0,1
1.645543177380038e+18,frame_2144.jpeg,2907.0,1257.0,-7096.0,1
1.6455431774365248e+18,frame_2145.jpeg,3376.0,871.0,-7306.0,1
1.6455431774878415e+18,frame_2146.jpeg,3237.0,1317.0,-7294.0,1
1.6455431775349496e+18,frame_2147.jpeg,3387.0,1366.0,-7092.0,1
1.6455431775889546e+18,frame_2148.jpeg,3011.0,962.0,-7402.0,1
1.6455431776350582e+18,frame_2149.jpeg,3379.0,1494.0,-7011.0,1
1.6455431776881864e+18,frame_2150.jpeg,3266.0,990.0,-7190.0,1
1.6455431777346273e+18,frame_2151.jpeg,3481.0,894.0,-7519.0,1
