timestamp,a_left_backPose,b_left_backPose,c_left_backPose,File Name
1.6463929564632696e+18,4514.0,-402.0,-6251.0,frame_10000.jpeg
1.6463929565119916e+18,3449.0,-503.0,-6722.0,frame_10001.jpeg
1.6463929565571092e+18,4545.0,-959.0,-6631.0,frame_10002.jpeg
1.6463929566089116e+18,4751.0,-403.0,-6080.0,frame_10003.jpeg
1.646392956663945e+18,5510.0,57.0,-5680.0,frame_10004.jpeg
1.64639295671348e+18,5470.0,-1272.0,-6422.0,frame_10005.jpeg
1.6463929567641628e+18,5009.0,-512.0,-6520.0,frame_10006.jpeg
1.6463929568095729e+18,3810.0,-784.0,-6824.0,frame_10007.jpeg
1.6463929568635963e+18,4339.0,-463.0,-6899.0,frame_10008.jpeg
1.646392956912595e+18,4642.0,-668.0,-6294.0,frame_10009.jpeg
1.6463929569633085e+18,5656.0,-970.0,-5693.0,frame_10010.jpeg
1.6463929570095557e+18,4786.0,22.0,-6313.0,frame_10011.jpeg
1.6463929570629123e+18,4551.0,-1564.0,-6861.0,frame_10012.jpeg
1.646392957112313e+18,4674.0,-573.0,-6591.0,frame_10013.jpeg
1.6463929571617503e+18,4172.0,-468.0,-6140.0,frame_10014.jpeg
1.6463929572075853e+18,4757.0,-301.0,-6279.0,frame_10015.jpeg
1.646392957264367e+18,4388.0,-902.0,-6392.0,frame_10016.jpeg
1.6463929573080812e+18,4634.0,-501.0,-6386.0,frame_10017.jpeg
1.6463929573617467e+18,4947.0,-372.0,-6408.0,frame_10018.jpeg
1.6463929574119964e+18,4856.0,-512.0,-6190.0,frame_10019.jpeg
1.6463929574635584e+18,4806.0,-639.0,-6617.0,frame_10020.jpeg
1.6463929575097434e+18,4980.0,-361.0,-6163.0,frame_10021.jpeg
1.646392957562258e+18,4716.0,-379.0,-6426.0,frame_10022.jpeg
1.6463929576057774e+18,4661.0,-753.0,-6659.0,frame_10023.jpeg
1.6463929576602573e+18,4168.0,-645.0,-6210.0,frame_10024.jpeg
1.6463929577121185e+18,4982.0,-604.0,-6640.0,frame_10025.jpeg
1.6463929577624005e+18,4665.0,-742.0,-6161.0,frame_10026.jpeg
1.6463929578158047e+18,5355.0,119.0,-6188.0,frame_10027.jpeg
1.6463929578653056e+18,4956.0,-1242.0,-6395.0,frame_10028.jpeg
1.6463929579164718e+18,4936.0,-523.0,-6506.0,frame_10029.jpeg
1.6463929579659978e+18,4673.0,-272.0,-6538.0,frame_10030.jpeg
1.646392958013204e+18,4537.0,-376.0,-6106.0,frame_10031.jpeg
1.6463929580633219e+18,4167.0,-563.0,-6929.0,frame_10032.jpeg
1.6463929581160512e+18,4526.0,-1094.0,-6175.0,frame_10033.jpeg
1.6463929581582339e+18,4951.0,-1292.0,-6405.0,frame_10034.jpeg
1.646392958218229e+18,5174.0,-399.0,-6313.0,frame_10035.jpeg
1.6463929582604288e+18,5039.0,-214.0,-6330.0,frame_10036.jpeg
1.6463929583099822e+18,3133.0,-955.0,-6948.0,frame_10037.jpeg
1.6463929583601981e+18,4719.0,-612.0,-6250.0,frame_10038.jpeg
1.6463929584122033e+18,4540.0,-773.0,-6589.0,frame_10039.jpeg
1.6463929584600276e+18,4568.0,-934.0,-6598.0,frame_10040.jpeg
1.6463929585193382e+18,4442.0,-919.0,-6215.0,frame_10041.jpeg
1.646392958561405e+18,5263.0,-83.0,-6445.0,frame_10042.jpeg
1.6463929586157668e+18,4727.0,-771.0,-6121.0,frame_10043.jpeg
1.646392958658378e+18,4947.0,-1256.0,-6612.0,frame_10044.jpeg
1.6463929587177764e+18,3692.0,-1016.0,-6763.0,frame_10045.jpeg
1.6463929587650143e+18,4619.0,-629.0,-6284.0,frame_10046.jpeg
1.6463929588157478e+18,4993.0,-647.0,-6533.0,frame_10047.jpeg
1.6463929588646546e+18,4469.0,-1334.0,-6248.0,frame_10048.jpeg
1.6463929589146186e+18,4510.0,-1380.0,-6626.0,frame_10049.jpeg
1.6463929589603308e+18,4983.0,-752.0,-6301.0,frame_10050.jpeg
1.646392959017337e+18,5170.0,-442.0,-6512.0,frame_10051.jpeg
1.6463929590643697e+18,3764.0,-1453.0,-6894.0,frame_10052.jpeg
1.6463929591149225e+18,4275.0,-722.0,-6353.0,frame_10053.jpeg
1.6463929591587735e+18,4820.0,-1004.0,-6635.0,frame_10054.jpeg
1.6463929592172116e+18,4207.0,-1375.0,-6298.0,frame_10055.jpeg
1.6463929592610988e+18,4759.0,-956.0,-6461.0,frame_10056.jpeg
1.6463929593144727e+18,4936.0,-1189.0,-6307.0,frame_10057.jpeg
1.6463929593611674e+18,4989.0,-964.0,-6574.0,frame_10058.jpeg
1.6463929594126226e+18,3806.0,-879.0,-7040.0,frame_10059.jpeg
1.6463929594666483e+18,3835.0,-775.0,-6427.0,frame_10060.jpeg
1.6463929595124588e+18,4648.0,-983.0,-6639.0,frame_10061.jpeg
1.6463929595648586e+18,4619.0,-1057.0,-6141.0,frame_10062.jpeg
1.646392959615599e+18,4813.0,-716.0,-6347.0,frame_10063.jpeg
1.646392959663327e+18,4705.0,-1531.0,-6507.0,frame_10064.jpeg
1.6463929597148122e+18,4687.0,-518.0,-6802.0,frame_10065.jpeg
1.6463929597669742e+18,3435.0,-1425.0,-6876.0,frame_10066.jpeg
1.6463929598123776e+18,4328.0,-746.0,-6440.0,frame_10067.jpeg
1.6463929598645105e+18,4901.0,-1370.0,-6600.0,frame_10068.jpeg
1.6463929599129114e+18,4332.0,-1093.0,-6224.0,frame_10069.jpeg
