timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose,File Name
1.6466619971099735e+18,-5834.0,-4211.0,4501.0,frame_100.jpeg
1.6466619971643336e+18,-5843.0,-4164.0,4515.0,frame_101.jpeg
1.646661997208197e+18,-5823.0,-4275.0,4380.0,frame_102.jpeg
1.6466619972546644e+18,-5847.0,-4213.0,4356.0,frame_103.jpeg
1.6466619973107412e+18,-5847.0,-4312.0,4361.0,frame_104.jpeg
1.646661997359624e+18,-5857.0,-4314.0,4299.0,frame_105.jpeg
1.646661997410004e+18,-5837.0,-4341.0,4269.0,frame_106.jpeg
1.6466619974648717e+18,-5823.0,-4352.0,4290.0,frame_107.jpeg
1.646661997523179e+18,-5829.0,-4358.0,4292.0,frame_108.jpeg
1.646661997531293e+18,-5832.0,-4354.0,4304.0,frame_109.jpeg
1.646661997531293e+18,-5832.0,-4354.0,4304.0,frame_110.jpeg
1.6466619977576645e+18,-5825.0,-4352.0,4314.0,frame_111.jpeg
1.6466619977576645e+18,-5825.0,-4352.0,4314.0,frame_112.jpeg
1.6466619977576645e+18,-5825.0,-4352.0,4314.0,frame_113.jpeg
1.6466619977576645e+18,-5825.0,-4352.0,4314.0,frame_114.jpeg
1.6466619979498698e+18,-5817.0,-4345.0,4309.0,frame_115.jpeg
1.6466619979498698e+18,-5817.0,-4345.0,4309.0,frame_116.jpeg
1.6466619979498698e+18,-5817.0,-4345.0,4309.0,frame_117.jpeg
1.6466619979498698e+18,-5817.0,-4345.0,4309.0,frame_118.jpeg
1.6466619981664604e+18,-5816.0,-4344.0,4319.0,frame_119.jpeg
1.6466619981664604e+18,-5816.0,-4344.0,4319.0,frame_120.jpeg
1.6466619981664604e+18,-5816.0,-4344.0,4319.0,frame_121.jpeg
1.6466620529312356e+18,-913.0,-6903.0,-4235.0,frame_1215.jpeg
1.6466620529776174e+18,-866.0,-7118.0,-4014.0,frame_1216.jpeg
1.6466620530306762e+18,-908.0,-7164.0,-3693.0,frame_1217.jpeg
1.6466620530919619e+18,-931.0,-7264.0,-3487.0,frame_1218.jpeg
1.6466620531318886e+18,-931.0,-7360.0,-3015.0,frame_1219.jpeg
1.6466619981664604e+18,-5816.0,-4344.0,4319.0,frame_122.jpeg
1.6466620531781706e+18,-840.0,-7334.0,-2851.0,frame_1220.jpeg
1.64666205323088e+18,-803.0,-7397.0,-2778.0,frame_1221.jpeg
1.6466620532789292e+18,-925.0,-7560.0,-2789.0,frame_1222.jpeg
1.646662053330963e+18,-1240.0,-7722.0,-2727.0,frame_1223.jpeg
1.646662053376275e+18,-1243.0,-7597.0,-2766.0,frame_1224.jpeg
1.6466620534183444e+18,-1083.0,-7347.0,-2763.0,frame_1225.jpeg
1.6466620534782884e+18,-933.0,-7275.0,-2745.0,frame_1226.jpeg
1.6466620535291712e+18,-773.0,-7282.0,-2850.0,frame_1227.jpeg
