timestamp,File Name,a_left_backPose,b_left_backPose,c_left_backPose, HANDOVER_RIGHT
1.6449324273381094e+18,frame_11060.jpeg,7838.0,4848.0,-3043.0,1
1.644932427393444e+18,frame_11061.jpeg,7098.0,4824.0,-1872.0,1
1.644932427439285e+18,frame_11062.jpeg,6131.0,4442.0,-700.0,1
1.6449324274899348e+18,frame_11063.jpeg,6489.0,4314.0,361.0,1
1.6449324275323146e+18,frame_11064.jpeg,6292.0,4078.0,514.0,1
1.6449324275751409e+18,frame_11065.jpeg,6256.0,4102.0,420.0,1
1.644932427627311e+18,frame_11066.jpeg,6218.0,4135.0,311.0,1
1.6449324276820882e+18,frame_11067.jpeg,6174.0,4175.0,200.0,1
1.6449324277683863e+18,frame_11068.jpeg,6117.0,4218.0,91.0,1
1.6449324277923484e+18,frame_11069.jpeg,5878.0,4375.0,-150.0,1
1.6449324278419773e+18,frame_11070.jpeg,8103.0,3368.0,-1239.0,1
1.644932427891148e+18,frame_11071.jpeg,7419.0,3101.0,-1202.0,1
1.6449324279396065e+18,frame_11072.jpeg,7004.0,2427.0,-851.0,1
1.644932427989524e+18,frame_11073.jpeg,7094.0,2042.0,-511.0,1
1.644932428039674e+18,frame_11074.jpeg,7529.0,1903.0,-591.0,1
1.644932428089596e+18,frame_11075.jpeg,8035.0,1802.0,-528.0,1
1.644932428138246e+18,frame_11076.jpeg,8337.0,1952.0,-420.0,1
1.6449324281922353e+18,frame_11077.jpeg,8347.0,2209.0,-351.0,1
1.6449324282423747e+18,frame_11078.jpeg,7925.0,2321.0,-385.0,1
1.6449324282921503e+18,frame_11079.jpeg,7861.0,2298.0,-613.0,1
1.6449324283385175e+18,frame_11080.jpeg,7817.0,2129.0,-419.0,1
1.6449324283929103e+18,frame_11081.jpeg,7937.0,1765.0,-208.0,1
1.6449324284368177e+18,frame_11082.jpeg,7898.0,1707.0,-167.0,1
1.6449324284949092e+18,frame_11083.jpeg,8291.0,1357.0,-142.0,1
1.6449324285383585e+18,frame_11084.jpeg,7647.0,1375.0,-103.0,1
1.6449324285933862e+18,frame_11085.jpeg,7767.0,1563.0,-612.0,1
1.6449324286396275e+18,frame_11086.jpeg,7859.0,1730.0,-869.0,1
1.6449324286933706e+18,frame_11087.jpeg,7820.0,1913.0,-858.0,1
1.6449324287415048e+18,frame_11088.jpeg,7577.0,1691.0,-574.0,1
1.644932428791582e+18,frame_11089.jpeg,7692.0,1508.0,-429.0,1
1.644932428841824e+18,frame_11090.jpeg,7689.0,1447.0,-380.0,1
1.6449324288925233e+18,frame_11091.jpeg,8040.0,1615.0,-521.0,1
1.644932428942578e+18,frame_11092.jpeg,8352.0,1627.0,-629.0,1
1.6449324289932268e+18,frame_11093.jpeg,8068.0,1373.0,-546.0,1
1.6449324290417341e+18,frame_11094.jpeg,7886.0,1219.0,-620.0,1
1.644932429093956e+18,frame_11095.jpeg,7484.0,639.0,-681.0,1
1.6449324291476306e+18,frame_11096.jpeg,7004.0,954.0,-847.0,1
1.6449324291939085e+18,frame_11097.jpeg,7556.0,1094.0,-1964.0,1
1.6449324292456545e+18,frame_11098.jpeg,6732.0,1822.0,-3350.0,1
1.6449324292894945e+18,frame_11099.jpeg,6829.0,1720.0,-4073.0,1
1.644932429343656e+18,frame_11100.jpeg,5743.0,1611.0,-5444.0,1
1.6449324293926743e+18,frame_11101.jpeg,5712.0,1283.0,-5648.0,1
1.6449324294441564e+18,frame_11102.jpeg,6576.0,1085.0,-5284.0,1
1.644932429492582e+18,frame_11103.jpeg,6899.0,771.0,-5191.0,1
1.6449324295413852e+18,frame_11104.jpeg,6521.0,231.0,-4871.0,1
1.644932429593901e+18,frame_11105.jpeg,6786.0,200.0,-4675.0,1
1.6449324296413373e+18,frame_11106.jpeg,6598.0,114.0,-4509.0,1
1.644932429685595e+18,frame_11107.jpeg,6490.0,276.0,-4666.0,1
1.644932429740167e+18,frame_11108.jpeg,6359.0,143.0,-4742.0,1
1.6449324297930563e+18,frame_11109.jpeg,6159.0,101.0,-4776.0,1
1.644932429842549e+18,frame_11110.jpeg,6571.0,437.0,-5116.0,1
