timestamp,File Name,a_left_backPose,b_left_backPose,c_left_backPose, PICKUP_LEFT
1.644931905839145e+18,frame_643.jpeg,7089.0,2645.0,-3615.0,1
1.6449319058877097e+18,frame_644.jpeg,7286.0,2239.0,-3346.0,1
1.6449319059360328e+18,frame_645.jpeg,7681.0,1807.0,-2937.0,1
1.644931905987042e+18,frame_646.jpeg,7871.0,2227.0,-2491.0,1
1.6449319060371333e+18,frame_647.jpeg,7389.0,2753.0,-1848.0,1
1.6449319060837133e+18,frame_648.jpeg,5738.0,3449.0,-1785.0,1
1.644931906137768e+18,frame_649.jpeg,4526.0,4214.0,-2915.0,1
1.64493190618766e+18,frame_650.jpeg,3105.0,4925.0,-3966.0,1
1.6449319062363832e+18,frame_651.jpeg,1198.0,5227.0,-5362.0,1
1.6449319062869064e+18,frame_652.jpeg,1596.0,6067.0,-6304.0,1
1.6449319063376036e+18,frame_653.jpeg,4653.0,6227.0,-6833.0,1
1.6449319063863393e+18,frame_654.jpeg,891.0,5821.0,-5111.0,1
1.6449319064419233e+18,frame_655.jpeg,4676.0,5947.0,-3459.0,1
1.64493190648339e+18,frame_656.jpeg,5269.0,7092.0,-1628.0,1
1.6449319065366205e+18,frame_657.jpeg,6614.0,7076.0,-374.0,1
1.6449319065873306e+18,frame_658.jpeg,5642.0,6355.0,1821.0,1
1.6449319066364577e+18,frame_659.jpeg,5243.0,5638.0,3416.0,1
1.6449319066921075e+18,frame_660.jpeg,4570.0,4432.0,4593.0,1
1.644931906737661e+18,frame_661.jpeg,4093.0,4059.0,4580.0,1
1.6449319067874317e+18,frame_662.jpeg,3583.0,4218.0,5611.0,1
1.644931906837935e+18,frame_663.jpeg,3943.0,4677.0,6145.0,1
1.6449319068909325e+18,frame_664.jpeg,3896.0,4813.0,5993.0,1
1.6449319069176228e+18,frame_665.jpeg,3897.0,4881.0,5981.0,1
1.6449319069926006e+18,frame_666.jpeg,3759.0,4870.0,5983.0,1
1.64493190705866e+18,frame_667.jpeg,3584.0,4804.0,6031.0,1
1.64493190705866e+18,frame_668.jpeg,3584.0,4804.0,6031.0,1
1.64493190705866e+18,frame_669.jpeg,3584.0,4804.0,6031.0,1
1.64493190705866e+18,frame_670.jpeg,3584.0,4804.0,6031.0,1
1.64493190705866e+18,frame_671.jpeg,3584.0,4804.0,6031.0,1
1.6449319074798792e+18,frame_672.jpeg,3236.0,4627.0,6196.0,1
1.6449319074798792e+18,frame_673.jpeg,3236.0,4627.0,6196.0,1
1.6449319074798792e+18,frame_674.jpeg,3236.0,4627.0,6196.0,1
1.6449319074798792e+18,frame_675.jpeg,3236.0,4627.0,6196.0,1
1.6449319587003228e+18,frame_1699.jpeg,3912.0,-401.0,-4516.0,1
1.644931958753146e+18,frame_1700.jpeg,2577.0,-45.0,-5318.0,1
1.6449319588038784e+18,frame_1701.jpeg,2426.0,1328.0,-5716.0,1
1.6449319588542257e+18,frame_1702.jpeg,1780.0,3452.0,-6853.0,1
1.644931958899623e+18,frame_1703.jpeg,254.0,6818.0,-7533.0,1
1.6449319589541164e+18,frame_1704.jpeg,-354.0,7825.0,-6182.0,1
1.644931959002463e+18,frame_1705.jpeg,-1996.0,7812.0,-6334.0,1
1.6449319590537743e+18,frame_1706.jpeg,-2679.0,7002.0,-7465.0,1
1.644931959103087e+18,frame_1707.jpeg,580.0,8837.0,-5157.0,1
1.644931959153957e+18,frame_1708.jpeg,4427.0,9101.0,-2723.0,1
1.6449319592035384e+18,frame_1709.jpeg,6291.0,7700.0,879.0,1
1.6449319592587008e+18,frame_1710.jpeg,7513.0,5539.0,3395.0,1
1.6449319592998935e+18,frame_1711.jpeg,7963.0,4185.0,3229.0,1
1.6449319593570258e+18,frame_1712.jpeg,5819.0,2384.0,3974.0,1
1.6449319593974244e+18,frame_1713.jpeg,5367.0,1471.0,3835.0,1
1.644931959471605e+18,frame_1714.jpeg,5292.0,1448.0,3818.0,1
1.644931959471605e+18,frame_1715.jpeg,5292.0,1448.0,3818.0,1
1.644931959471605e+18,frame_1716.jpeg,5292.0,1448.0,3818.0,1
1.6449320296330184e+18,frame_3116.jpeg,4567.0,-369.0,-6674.0,1
1.644932029693709e+18,frame_3117.jpeg,4578.0,-384.0,-6493.0,1
1.6449320297370378e+18,frame_3118.jpeg,4710.0,350.0,-6628.0,1
1.6449320297947643e+18,frame_3119.jpeg,4527.0,-424.0,-5549.0,1
1.644932029840301e+18,frame_3120.jpeg,4885.0,-293.0,-4793.0,1
1.6449320298752292e+18,frame_3121.jpeg,4913.0,429.0,-5005.0,1
1.6449320299214267e+18,frame_3122.jpeg,4900.0,658.0,-5084.0,1
1.6449320299675776e+18,frame_3123.jpeg,4859.0,907.0,-5168.0,1
1.644932030076051e+18,frame_3124.jpeg,4797.0,1165.0,-5256.0,1
1.644932030076051e+18,frame_3125.jpeg,4797.0,1165.0,-5256.0,1
