timestamp,File Name,a_left_backPose,b_left_backPose,c_left_backPose, PICKUP_LEFT
1.6450229801359514e+18,frame_1147.jpeg,2299.0,-4396.0,-3661.0,1
1.6450229801898493e+18,frame_1148.jpeg,1019.0,-3844.0,-4108.0,1
1.6450229802366257e+18,frame_1149.jpeg,817.0,-3418.0,-4748.0,1
1.6450229802895137e+18,frame_1150.jpeg,629.0,-2597.0,-5971.0,1
1.6450229803371067e+18,frame_1151.jpeg,49.0,-2800.0,-5955.0,1
1.6450229803876275e+18,frame_1152.jpeg,181.0,-2485.0,-7283.0,1
1.645022980438591e+18,frame_1153.jpeg,-54.0,-2465.0,-8038.0,1
1.6450229804897024e+18,frame_1154.jpeg,-1365.0,-3148.0,-6942.0,1
1.6450229805365686e+18,frame_1155.jpeg,-1792.0,-3073.0,-6563.0,1
1.645022980587252e+18,frame_1156.jpeg,-1859.0,-3176.0,-6964.0,1
1.645022980638788e+18,frame_1157.jpeg,-1882.0,-3133.0,-6814.0,1
1.645022980690659e+18,frame_1158.jpeg,-2546.0,-3201.0,-7182.0,1
1.6450229807381962e+18,frame_1159.jpeg,-2354.0,-3843.0,-6878.0,1
1.6450229807875976e+18,frame_1160.jpeg,-2247.0,-3988.0,-6999.0,1
1.645022980836073e+18,frame_1161.jpeg,-2240.0,-3822.0,-7221.0,1
1.645022980887344e+18,frame_1162.jpeg,-2311.0,-3690.0,-6731.0,1
1.6450229809358031e+18,frame_1163.jpeg,-2361.0,-3418.0,-6821.0,1
1.645022980991247e+18,frame_1164.jpeg,-2303.0,-3255.0,-7567.0,1
1.6450229810412562e+18,frame_1165.jpeg,-2499.0,-3575.0,-6943.0,1
1.645022981091441e+18,frame_1166.jpeg,-2366.0,-3270.0,-7259.0,1
1.645022981137525e+18,frame_1167.jpeg,-1996.0,-3279.0,-7249.0,1
1.645022981191978e+18,frame_1168.jpeg,-2486.0,-2950.0,-6758.0,1
1.6450229812360064e+18,frame_1169.jpeg,-2401.0,-2825.0,-6789.0,1
1.6450229812872543e+18,frame_1170.jpeg,-2433.0,-2684.0,-7073.0,1
1.645022981340073e+18,frame_1171.jpeg,-2424.0,-2892.0,-7193.0,1
1.645022981385689e+18,frame_1172.jpeg,-1942.0,-2981.0,-7321.0,1
1.6450229814409682e+18,frame_1173.jpeg,-2548.0,-2823.0,-7337.0,1
1.6450229814843023e+18,frame_1174.jpeg,-2588.0,-2976.0,-7189.0,1
1.6450229815381816e+18,frame_1175.jpeg,-2599.0,-2778.0,-7076.0,1
1.6450229815901642e+18,frame_1176.jpeg,-2911.0,-2993.0,-6919.0,1
1.6450229816406618e+18,frame_1177.jpeg,-2573.0,-3314.0,-6641.0,1
1.645022981688031e+18,frame_1178.jpeg,-2989.0,-3011.0,-6824.0,1
1.6450229817397773e+18,frame_1179.jpeg,-2536.0,-3151.0,-7183.0,1
1.645022981790119e+18,frame_1180.jpeg,-2484.0,-2969.0,-6990.0,1
1.6450229818451087e+18,frame_1181.jpeg,-2462.0,-3143.0,-6776.0,1
1.6450229818891745e+18,frame_1182.jpeg,-2456.0,-3332.0,-6686.0,1
1.6450229819403802e+18,frame_1183.jpeg,-2460.0,-3575.0,-6717.0,1
1.6450229819902853e+18,frame_1184.jpeg,-2611.0,-4295.0,-6715.0,1
1.6450229820395594e+18,frame_1185.jpeg,-2332.0,-4431.0,-6516.0,1
1.645022982090199e+18,frame_1186.jpeg,-2530.0,-4622.0,-6542.0,1
1.645022982140872e+18,frame_1187.jpeg,-2528.0,-4367.0,-6410.0,1
1.6450229821871176e+18,frame_1188.jpeg,-2367.0,-4609.0,-6228.0,1
1.645022982246858e+18,frame_1189.jpeg,-2556.0,-4356.0,-6338.0,1
1.6450229822897815e+18,frame_1190.jpeg,-2543.0,-4146.0,-6408.0,1
1.6450229823406387e+18,frame_1191.jpeg,-2112.0,-4618.0,-6240.0,1
1.6450229823893322e+18,frame_1192.jpeg,-2278.0,-4782.0,-6258.0,1
1.6450229824405243e+18,frame_1193.jpeg,-2357.0,-4728.0,-6105.0,1
1.6450229824891924e+18,frame_1194.jpeg,-2143.0,-4818.0,-6436.0,1
1.6450229825396664e+18,frame_1195.jpeg,-2592.0,-4638.0,-6204.0,1
1.645022982586543e+18,frame_1196.jpeg,-2281.0,-4541.0,-6157.0,1
1.6450229826407532e+18,frame_1197.jpeg,-2739.0,-4465.0,-5810.0,1
1.645022982688889e+18,frame_1198.jpeg,-2854.0,-4383.0,-5900.0,1
1.6450229827424305e+18,frame_1199.jpeg,-3030.0,-4775.0,-5754.0,1
1.6450229827859973e+18,frame_1200.jpeg,-3179.0,-5009.0,-5648.0,1
1.6450229828399767e+18,frame_1201.jpeg,-3269.0,-4949.0,-5705.0,1
1.6450229828892055e+18,frame_1202.jpeg,-3488.0,-5153.0,-5704.0,1
1.645022982942484e+18,frame_1203.jpeg,-3324.0,-4681.0,-5252.0,1
1.645022982994073e+18,frame_1204.jpeg,-3309.0,-5192.0,-5543.0,1
1.6450229830401585e+18,frame_1205.jpeg,-3564.0,-5227.0,-5311.0,1
1.645022983093532e+18,frame_1206.jpeg,-3417.0,-4975.0,-5195.0,1
1.6450229831435254e+18,frame_1207.jpeg,-3468.0,-5361.0,-5387.0,1
1.645022983193591e+18,frame_1208.jpeg,-3602.0,-5438.0,-5252.0,1
1.6450229832399672e+18,frame_1209.jpeg,-3462.0,-5134.0,-5089.0,1
1.6450229832943967e+18,frame_1210.jpeg,-3657.0,-5053.0,-4894.0,1
1.645022983340297e+18,frame_1211.jpeg,-3594.0,-4877.0,-5208.0,1
1.6450229833943954e+18,frame_1212.jpeg,-3527.0,-4990.0,-5550.0,1
1.6450229834377288e+18,frame_1213.jpeg,-3799.0,-5027.0,-5309.0,1
1.6450229834931804e+18,frame_1214.jpeg,-4057.0,-5046.0,-4977.0,1
1.6450229835410913e+18,frame_1215.jpeg,-4018.0,-5466.0,-4916.0,1
1.6450229835902666e+18,frame_1216.jpeg,-3299.0,-6202.0,-4729.0,1
1.645022983643786e+18,frame_1217.jpeg,-3096.0,-6139.0,-4707.0,1
1.6450229836939866e+18,frame_1218.jpeg,-3258.0,-5779.0,-5010.0,1
1.6450229837428908e+18,frame_1219.jpeg,-3713.0,-5157.0,-5376.0,1
1.6450229837937984e+18,frame_1220.jpeg,-3381.0,-4561.0,-5897.0,1
1.645022983846292e+18,frame_1221.jpeg,-2146.0,-3573.0,-6336.0,1
1.6450229838935836e+18,frame_1222.jpeg,183.0,-2213.0,-3208.0,1
