timestamp,File Name,a_left_backPose,b_left_backPose,c_left_backPose, SCREW_RIGHT
1.6455451127168105e+18,frame_9780.jpeg,4180.0,6203.0,-2989.0,1
1.645545112765919e+18,frame_9781.jpeg,4199.0,6330.0,-3052.0,1
1.6455451128178066e+18,frame_9782.jpeg,4299.0,6425.0,-2970.0,1
1.645545112866596e+18,frame_9783.jpeg,3961.0,6485.0,-3099.0,1
1.6455451129169293e+18,frame_9784.jpeg,4374.0,6362.0,-2908.0,1
1.6455451129656038e+18,frame_9785.jpeg,3971.0,6514.0,-2669.0,1
1.6455451130173e+18,frame_9786.jpeg,4562.0,6364.0,-2082.0,1
1.645545113066175e+18,frame_9787.jpeg,4171.0,6524.0,-2499.0,1
1.6455451131187126e+18,frame_9788.jpeg,5104.0,7306.0,-2726.0,1
1.645545113167201e+18,frame_9789.jpeg,3669.0,6746.0,-3312.0,1
1.6455451132175048e+18,frame_9790.jpeg,3244.0,6665.0,-3526.0,1
1.645545113266054e+18,frame_9791.jpeg,2980.0,5512.0,-4275.0,1
1.6455451133135227e+18,frame_9792.jpeg,1249.0,4153.0,-3182.0,1
1.645545113357911e+18,frame_9793.jpeg,4356.0,4536.0,-3140.0,1
1.645545113418337e+18,frame_9794.jpeg,7455.0,5435.0,-2897.0,1
1.6455451134677484e+18,frame_9795.jpeg,6007.0,4501.0,-2947.0,1
1.6455451135218048e+18,frame_9796.jpeg,5835.0,3895.0,-4546.0,1
1.6455451135706714e+18,frame_9797.jpeg,2757.0,3135.0,-3765.0,1
1.6455451136225572e+18,frame_9798.jpeg,5147.0,4416.0,-4357.0,1
1.6455451136714186e+18,frame_9799.jpeg,6082.0,5234.0,-3449.0,1
1.6455451137154163e+18,frame_9800.jpeg,8055.0,7080.0,-3983.0,1
1.6455451137709192e+18,frame_9801.jpeg,6420.0,9730.0,-5047.0,1
1.645545113816612e+18,frame_9802.jpeg,2714.0,10341.0,-5345.0,1
1.6455451138699901e+18,frame_9803.jpeg,1020.0,10559.0,-4467.0,1
1.6455451139191514e+18,frame_9804.jpeg,-513.0,9595.0,-3109.0,1
1.6455451139705362e+18,frame_9805.jpeg,-976.0,5816.0,-1995.0,1
1.6455451140241723e+18,frame_9806.jpeg,-458.0,1713.0,300.0,1
1.6455451140712015e+18,frame_9807.jpeg,4517.0,422.0,-197.0,1
1.6455451140902932e+18,frame_9808.jpeg,5040.0,-489.0,-409.0,1
1.645545114171284e+18,frame_9809.jpeg,5195.0,-1662.0,-28.0,1
1.6455451142026662e+18,frame_9810.jpeg,5080.0,-5887.0,-2385.0,1
1.6455451142026662e+18,frame_9811.jpeg,5080.0,-5887.0,-2385.0,1
1.6455451142026662e+18,frame_9812.jpeg,5080.0,-5887.0,-2385.0,1
1.6455451142026662e+18,frame_9813.jpeg,5080.0,-5887.0,-2385.0,1
1.6455451145993157e+18,frame_9814.jpeg,5399.0,-5537.0,-2450.0,1
1.6455451145993157e+18,frame_9815.jpeg,5399.0,-5537.0,-2450.0,1
1.6455451145993157e+18,frame_9816.jpeg,5399.0,-5537.0,-2450.0,1
1.6455451145993157e+18,frame_9817.jpeg,5399.0,-5537.0,-2450.0,1
1.6455451145993157e+18,frame_9818.jpeg,5399.0,-5537.0,-2450.0,1
