timestamp,File Name,a_left_backPose,b_left_backPose,c_left_backPose, PICKUP_RIGHT
1.6455446481882534e+18,frame_501.jpeg,4844.0,4034.0,-5052.0,1
1.6455446482379791e+18,frame_502.jpeg,4853.0,3799.0,-5353.0,1
1.6455446482883177e+18,frame_503.jpeg,5101.0,3580.0,-5642.0,1
1.6455446483369853e+18,frame_504.jpeg,4548.0,3009.0,-5644.0,1
1.6455446483786301e+18,frame_505.jpeg,4501.0,2814.0,-6489.0,1
1.6455446484385334e+18,frame_506.jpeg,4205.0,3582.0,-5597.0,1
1.6455446484878932e+18,frame_507.jpeg,4805.0,3657.0,-4808.0,1
1.645544648537873e+18,frame_508.jpeg,4543.0,3324.0,-5762.0,1
1.6455446485887406e+18,frame_509.jpeg,4256.0,3693.0,-5956.0,1
1.6455446486351396e+18,frame_510.jpeg,3332.0,3813.0,-5183.0,1
1.6455446486905388e+18,frame_511.jpeg,4184.0,4050.0,-5320.0,1
1.6455446487396127e+18,frame_512.jpeg,4122.0,4160.0,-5059.0,1
1.6455446487883802e+18,frame_513.jpeg,6440.0,4336.0,-3346.0,1
1.6455446488375688e+18,frame_514.jpeg,7052.0,3928.0,-2666.0,1
1.6455446488890944e+18,frame_515.jpeg,8028.0,3716.0,-2382.0,1
1.6455446489380506e+18,frame_516.jpeg,9277.0,3570.0,-2427.0,1
1.645544648988736e+18,frame_517.jpeg,9463.0,3613.0,-1900.0,1
1.6455446490368576e+18,frame_518.jpeg,9911.0,3837.0,-1591.0,1
1.6455446490882132e+18,frame_519.jpeg,9579.0,3860.0,-1231.0,1
1.6455446491372723e+18,frame_520.jpeg,7865.0,3113.0,-1457.0,1
1.645544649187783e+18,frame_521.jpeg,6865.0,2551.0,-1611.0,1
1.6455447251069181e+18,frame_2037.jpeg,3896.0,825.0,-9229.0,1
1.6455447251396045e+18,frame_2038.jpeg,3776.0,1091.0,-9021.0,1
1.645544725179107e+18,frame_2039.jpeg,4158.0,366.0,-9186.0,1
1.645544725235906e+18,frame_2040.jpeg,3804.0,403.0,-8337.0,1
1.645544725282322e+18,frame_2041.jpeg,2662.0,1191.0,-7169.0,1
1.6455447253311798e+18,frame_2042.jpeg,3624.0,-331.0,-7429.0,1
1.6455447253847447e+18,frame_2043.jpeg,2424.0,-63.0,-7041.0,1
1.645544725431583e+18,frame_2044.jpeg,2425.0,265.0,-7545.0,1
1.6455447254836055e+18,frame_2045.jpeg,2661.0,796.0,-7509.0,1
1.6455447255314906e+18,frame_2046.jpeg,2971.0,194.0,-7299.0,1
1.6455447255803973e+18,frame_2047.jpeg,3306.0,317.0,-7839.0,1
1.6455447256657226e+18,frame_2048.jpeg,3350.0,279.0,-7832.0,1
1.6455447256657226e+18,frame_2049.jpeg,3350.0,279.0,-7832.0,1
1.6455447257280187e+18,frame_2050.jpeg,3448.0,238.0,-7744.0,1
1.6455447257822428e+18,frame_2051.jpeg,2930.0,-212.0,-7097.0,1
1.645544725835151e+18,frame_2052.jpeg,2752.0,-347.0,-7268.0,1
1.6455447258846252e+18,frame_2053.jpeg,3038.0,-669.0,-7485.0,1
1.645544725927173e+18,frame_2054.jpeg,2985.0,-989.0,-7390.0,1
1.645544725984577e+18,frame_2055.jpeg,2668.0,-855.0,-7451.0,1
1.6455447260258798e+18,frame_2056.jpeg,2209.0,-660.0,-7494.0,1
1.6455447260994153e+18,frame_2057.jpeg,2272.0,-443.0,-7444.0,1
1.6455447261536586e+18,frame_2058.jpeg,2338.0,-435.0,-7463.0,1
1.6455447261833628e+18,frame_2059.jpeg,2122.0,-321.0,-7893.0,1
1.6455447262297784e+18,frame_2060.jpeg,2106.0,1037.0,-7568.0,1
1.6455447262894815e+18,frame_2061.jpeg,2310.0,2119.0,-7264.0,1
1.6455447263442337e+18,frame_2062.jpeg,4094.0,2607.0,-7387.0,1
1.6455447264199954e+18,frame_2063.jpeg,4118.0,2642.0,-7343.0,1
1.6455447264199954e+18,frame_2064.jpeg,4118.0,2642.0,-7343.0,1
1.6455447264874066e+18,frame_2065.jpeg,3539.0,2652.0,-7196.0,1
1.6455447265170437e+18,frame_2066.jpeg,3323.0,2609.0,-7117.0,1
1.6455447265841923e+18,frame_2067.jpeg,4088.0,2654.0,-6638.0,1
1.6455447266361564e+18,frame_2068.jpeg,3501.0,2404.0,-6596.0,1
1.6455447266825838e+18,frame_2069.jpeg,3544.0,1988.0,-7103.0,1
1.6455447267348398e+18,frame_2070.jpeg,3480.0,2028.0,-6838.0,1
1.64554472678408e+18,frame_2071.jpeg,3768.0,1845.0,-6967.0,1
1.6455447268323154e+18,frame_2072.jpeg,3481.0,1632.0,-7041.0,1
1.6455447268865618e+18,frame_2073.jpeg,3569.0,1522.0,-7013.0,1
1.6455447269410104e+18,frame_2074.jpeg,3492.0,1611.0,-6857.0,1
1.6455447269828938e+18,frame_2075.jpeg,3413.0,1616.0,-6967.0,1
1.645544727037409e+18,frame_2076.jpeg,3575.0,1379.0,-7191.0,1
1.6455447270842284e+18,frame_2077.jpeg,3353.0,1658.0,-6751.0,1
1.6455447271370665e+18,frame_2078.jpeg,3293.0,1231.0,-7043.0,1
1.6455447271929423e+18,frame_2079.jpeg,3401.0,1178.0,-7081.0,1
1.6455447272174013e+18,frame_2080.jpeg,3601.0,1370.0,-6953.0,1
1.6455447272869542e+18,frame_2081.jpeg,3663.0,1405.0,-6851.0,1
1.6455447273093404e+18,frame_2082.jpeg,3603.0,1420.0,-6775.0,1
1.6455447273803343e+18,frame_2083.jpeg,3598.0,1389.0,-6749.0,1
1.6455447274341599e+18,frame_2084.jpeg,3731.0,1366.0,-6783.0,1
1.6455447274749468e+18,frame_2085.jpeg,3815.0,1397.0,-6823.0,1
1.6455447275273528e+18,frame_2086.jpeg,3979.0,1429.0,-6894.0,1
1.645544727603087e+18,frame_2087.jpeg,4022.0,1420.0,-6917.0,1
1.6455447276434555e+18,frame_2088.jpeg,4046.0,1401.0,-6907.0,1
1.645544727722087e+18,frame_2089.jpeg,4068.0,1371.0,-6890.0,1
1.6455447277411228e+18,frame_2090.jpeg,4110.0,1356.0,-6886.0,1
1.645544727823862e+18,frame_2091.jpeg,4197.0,1343.0,-6878.0,1
1.645544727823862e+18,frame_2092.jpeg,4197.0,1343.0,-6878.0,1
1.64554472788617e+18,frame_2093.jpeg,4420.0,1409.0,-6845.0,1
1.6455447279319145e+18,frame_2094.jpeg,4351.0,2238.0,-5799.0,1
1.6455447279841843e+18,frame_2095.jpeg,4924.0,1759.0,-5937.0,1
1.6455447280372116e+18,frame_2096.jpeg,5275.0,1240.0,-6191.0,1
1.6455447280850632e+18,frame_2097.jpeg,4960.0,1039.0,-6444.0,1
1.6455447281367918e+18,frame_2098.jpeg,4721.0,1182.0,-6512.0,1
1.6455447281878226e+18,frame_2099.jpeg,4941.0,1517.0,-6106.0,1
1.6455447282362898e+18,frame_2100.jpeg,4825.0,1694.0,-5966.0,1
1.645544728285164e+18,frame_2101.jpeg,4884.0,1680.0,-6155.0,1
1.6455447283366318e+18,frame_2102.jpeg,4713.0,1681.0,-6213.0,1
1.6455447283844782e+18,frame_2103.jpeg,4773.0,1572.0,-6297.0,1
1.64554472843535e+18,frame_2104.jpeg,4847.0,1608.0,-6145.0,1
1.645544728489659e+18,frame_2105.jpeg,4872.0,1653.0,-6137.0,1
1.6455447285351263e+18,frame_2106.jpeg,4781.0,1712.0,-6127.0,1
1.645544728594013e+18,frame_2107.jpeg,4775.0,1712.0,-6152.0,1
1.645544728637041e+18,frame_2108.jpeg,4795.0,1662.0,-6093.0,1
1.6455447286857042e+18,frame_2109.jpeg,4782.0,1627.0,-6125.0,1
1.6455447287359708e+18,frame_2110.jpeg,4758.0,1645.0,-6221.0,1
1.6455447287821706e+18,frame_2111.jpeg,4805.0,1635.0,-6152.0,1
1.6455447288360364e+18,frame_2112.jpeg,4800.0,1801.0,-6043.0,1
1.6455447288904627e+18,frame_2113.jpeg,5013.0,1752.0,-5952.0,1
