timestamp,a_left_backPose,b_left_backPose,c_left_backPose,File Name
1.646385915537037e+18,2041.0,5628.0,-5465.0,frame_100.jpeg
1.6463859155862203e+18,1715.0,5847.0,-5206.0,frame_101.jpeg
1.6463859156376512e+18,1483.0,5978.0,-5068.0,frame_102.jpeg
1.6463859156847926e+18,1502.0,5980.0,-5122.0,frame_103.jpeg
1.646385915734378e+18,1605.0,5882.0,-5175.0,frame_104.jpeg
1.6463859157796959e+18,1709.0,5855.0,-5243.0,frame_105.jpeg
1.646385915832159e+18,1658.0,5897.0,-5200.0,frame_106.jpeg
1.6463859158826673e+18,1441.0,6081.0,-5016.0,frame_107.jpeg
1.6463859159357494e+18,1381.0,6119.0,-4907.0,frame_108.jpeg
1.6463859159844442e+18,1754.0,5874.0,-5114.0,frame_109.jpeg
1.646385965149638e+18,6715.0,3466.0,-2154.0,frame_1091.jpeg
1.6463859651989947e+18,6706.0,3439.0,-2187.0,frame_1092.jpeg
1.6463859652953587e+18,6719.0,3437.0,-2202.0,frame_1093.jpeg
1.6463859652953587e+18,6719.0,3437.0,-2202.0,frame_1094.jpeg
1.6463859653701427e+18,6728.0,3437.0,-2207.0,frame_1095.jpeg
1.6463859653701427e+18,6728.0,3437.0,-2207.0,frame_1096.jpeg
1.646385965433898e+18,6735.0,3437.0,-2214.0,frame_1097.jpeg
1.6463859654988055e+18,6740.0,3455.0,-2211.0,frame_1098.jpeg
1.6463859655678444e+18,6721.0,3488.0,-2222.0,frame_1099.jpeg
1.6463859160343398e+18,1960.0,5779.0,-5305.0,frame_110.jpeg
1.6463859655678444e+18,6721.0,3488.0,-2222.0,frame_1100.jpeg
1.6463859656628408e+18,6717.0,3510.0,-2227.0,frame_1101.jpeg
1.6463859657284326e+18,6722.0,3526.0,-2232.0,frame_1102.jpeg
1.6463859657456036e+18,6740.0,3538.0,-2237.0,frame_1103.jpeg
1.6463859657989435e+18,6936.0,3471.0,-1959.0,frame_1104.jpeg
1.64638596584762e+18,6961.0,3333.0,-1843.0,frame_1105.jpeg
1.646385965899992e+18,7175.0,3415.0,-1982.0,frame_1106.jpeg
1.6463859659453783e+18,7081.0,3465.0,-2125.0,frame_1107.jpeg
1.646385966000679e+18,7048.0,3363.0,-2048.0,frame_1108.jpeg
1.646385966049404e+18,7238.0,3586.0,-2155.0,frame_1109.jpeg
1.646385916084336e+18,1893.0,5861.0,-5264.0,frame_111.jpeg
1.6463859661000832e+18,6998.0,3689.0,-2068.0,frame_1110.jpeg
