timestamp,File Name,ASSEMBLY1_BIMANUAL,ASSEMBLY2_RIGHT,BOLT_LEFT,BOLT_RIGHT,DELIVERY_BIMANUAL,DELIVERY_RIGHT,HANDOVER_LEFT,IDLE,PICKUP_LEFT,PICKUP_LEFT-START,PICKUP_RIGHT,SCREW_RIGHT
1644932395247617959,frame_10419.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932395298466920,frame_10420.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932395347942113,frame_10421.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932395397695064,frame_10422.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932395446345090,frame_10423.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932395499389886,frame_10424.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932395548005104,frame_10425.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932395600631952,frame_10426.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932395647679090,frame_10427.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932395699650049,frame_10428.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932395752650022,frame_10429.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932395799832105,frame_10430.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932395852271080,frame_10431.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932395900266885,frame_10432.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932395952239990,frame_10433.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932396000016927,frame_10434.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932396052444934,frame_10435.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932396101094961,frame_10436.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932396151995897,frame_10437.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932396199632883,frame_10438.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932396251486063,frame_10439.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932396299864053,frame_10440.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932396351797103,frame_10441.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932396398648023,frame_10442.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932396451754093,frame_10443.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932396500293970,frame_10444.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932396552629947,frame_10445.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932396598805904,frame_10446.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932396651349067,frame_10447.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932396699754953,frame_10448.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932396752115964,frame_10449.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932396799674987,frame_10450.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932396851674079,frame_10451.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932396899409055,frame_10452.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932396951277971,frame_10453.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932396999761104,frame_10454.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932397052678108,frame_10455.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932397099725961,frame_10456.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932397152645111,frame_10457.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932397199745893,frame_10458.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932397252209901,frame_10459.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932397299246072,frame_10460.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932397350328922,frame_10461.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932397402734041,frame_10462.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932397450819969,frame_10463.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932397504204988,frame_10464.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932397551641941,frame_10465.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932397603262901,frame_10466.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932397650667905,frame_10467.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932397702897071,frame_10468.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932397749224901,frame_10469.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932397804672956,frame_10470.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932397852047920,frame_10471.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932397903909921,frame_10472.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932397951951026,frame_10473.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932398003828048,frame_10474.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932398050594091,frame_10475.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932398102025032,frame_10476.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932398151596069,frame_10477.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932398203294038,frame_10478.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932398250432968,frame_10479.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932398304114103,frame_10480.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932398352622032,frame_10481.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932398403429031,frame_10482.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932398450788021,frame_10483.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932398504407882,frame_10484.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932398551419019,frame_10485.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932398603436946,frame_10486.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932398651932954,frame_10487.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932398703526020,frame_10488.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932398751200914,frame_10489.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932398804068088,frame_10490.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932398851073980,frame_10491.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932398903074979,frame_10492.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932398955786943,frame_10493.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932399003338098,frame_10494.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932399055922031,frame_10495.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932399102611064,frame_10496.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932399155756950,frame_10497.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932399203531980,frame_10498.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932399255852937,frame_10499.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932399303997993,frame_10500.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932399356947898,frame_10501.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932399404062032,frame_10502.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932399456617116,frame_10503.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932399504210948,frame_10504.jpeg,0,0,0,0,0,0,0,0,0,0,0,1
1644932418881134033,frame_10891.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932418927036046,frame_10892.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932418979707002,frame_10893.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932419027121067,frame_10894.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932419079241037,frame_10895.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932419130911111,frame_10896.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932419179598093,frame_10897.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932419231168985,frame_10898.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932419280320882,frame_10899.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932419332248926,frame_10900.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932419379337072,frame_10901.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932419431299924,frame_10902.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932419479626893,frame_10903.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932419531625032,frame_10904.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932419579047918,frame_10905.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932419631490945,frame_10906.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932419679408073,frame_10907.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932419731548070,frame_10908.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932419779350042,frame_10909.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932419831840038,frame_10910.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932419879108905,frame_10911.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932419932208061,frame_10912.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932419979794979,frame_10913.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932420032340049,frame_10914.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932420079735040,frame_10915.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932420131474971,frame_10916.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932420179022073,frame_10917.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932420231452941,frame_10918.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932420279350042,frame_10919.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932420331749916,frame_10920.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932420380974054,frame_10921.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932420430682897,frame_10922.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932420478286027,frame_10923.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932420531704902,frame_10924.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932420579546928,frame_10925.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932420631855964,frame_10926.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932420683990001,frame_10927.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932420731463909,frame_10928.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
1644932420783304929,frame_10929.jpeg,0,0,0,0,0,0,0,1,0,0,0,0
