timestamp,File Name, ASSEMBLY1_BIMANUAL, ASSEMBLY2_BIMANUAL, ASSEMBLY2_LEFT, BOLT_RIGHT, DELIVERY_BIMANUAL, DELIVERY_RIGHT, HANDOVER_RIGHT, IDLE_BIMANUAL, PICKUP_LEFT, PICKUP_RIGHT, SCREW_BIMANUAL, SCREW_RIGHT,a_left_backPose,b_left_backPose,c_left_backPose
1.6450229236672517e+18,frame_19.jpeg,0,0,0,0,0,0,0,1,0,0,0,0,1656.0,2599.0,-7487.0
1.6450229237170424e+18,frame_20.jpeg,0,0,0,0,0,0,0,1,0,0,0,0,1549.0,2550.0,-7399.0
1.6450229237661033e+18,frame_21.jpeg,0,0,0,0,0,0,0,1,0,0,0,0,1615.0,2517.0,-7493.0
1.6450229238153969e+18,frame_22.jpeg,0,0,0,0,0,0,0,1,0,0,0,0,1544.0,2451.0,-7481.0
1.645022923866291e+18,frame_23.jpeg,0,0,0,0,0,0,0,1,0,0,0,0,1569.0,2444.0,-7486.0
1.6450229239155786e+18,frame_24.jpeg,0,0,0,0,0,0,0,1,0,0,0,0,1526.0,2419.0,-7522.0
1.6450229239670715e+18,frame_25.jpeg,0,0,0,0,0,0,0,1,0,0,0,0,1551.0,2442.0,-7488.0
1.6450229240161997e+18,frame_26.jpeg,0,0,0,0,0,0,0,1,0,0,0,0,1536.0,2430.0,-7475.0
1.6450229240666522e+18,frame_27.jpeg,0,0,0,0,0,0,0,1,0,0,0,0,1545.0,2430.0,-7499.0
1.6450229241201935e+18,frame_28.jpeg,0,0,0,0,0,0,0,1,0,0,0,0,1499.0,2477.0,-7431.0
1.6450229241668083e+18,frame_29.jpeg,0,0,0,0,0,0,0,1,0,0,0,0,1556.0,2455.0,-7434.0
1.6450229242168092e+18,frame_30.jpeg,0,0,0,0,0,0,0,1,0,0,0,0,1530.0,2491.0,-7472.0
1.6450229242711444e+18,frame_31.jpeg,0,0,0,0,0,0,0,1,0,0,0,0,1534.0,2501.0,-7428.0
1.6450229243158528e+18,frame_32.jpeg,0,0,0,0,0,0,0,1,0,0,0,0,1534.0,2486.0,-7451.0
1.6450229243669263e+18,frame_33.jpeg,0,0,0,0,0,0,0,1,0,0,0,0,1558.0,2493.0,-7437.0
1.6450229244171287e+18,frame_34.jpeg,0,0,0,0,0,0,0,1,0,0,0,0,1518.0,2479.0,-7470.0
1.6450229244673866e+18,frame_35.jpeg,0,0,0,0,0,0,0,1,0,0,0,0,1559.0,2479.0,-7457.0
1.645022924516038e+18,frame_36.jpeg,0,0,0,0,0,0,0,1,0,0,0,0,1538.0,2471.0,-7431.0
1.6450229245721546e+18,frame_37.jpeg,0,0,0,0,0,0,0,1,0,0,0,0,1543.0,2470.0,-7478.0
1.6450229246140047e+18,frame_38.jpeg,0,0,0,0,0,0,0,1,0,0,0,0,1594.0,2452.0,-7455.0
1.64502292467253e+18,frame_39.jpeg,0,0,0,0,0,0,0,1,0,0,0,0,1561.0,2448.0,-7454.0
1.645022924719673e+18,frame_40.jpeg,0,0,0,0,0,0,0,1,0,0,0,0,1581.0,2437.0,-7462.0
1.6450229247671936e+18,frame_41.jpeg,0,0,0,0,0,0,0,1,0,0,0,0,1584.0,2445.0,-7436.0
1.6450229248189432e+18,frame_42.jpeg,0,0,0,0,0,0,0,1,0,0,0,0,1577.0,2437.0,-7447.0
1.6450229248714578e+18,frame_43.jpeg,0,0,0,0,0,0,0,1,0,0,0,0,1603.0,2417.0,-7445.0
1.6450229249135885e+18,frame_44.jpeg,0,0,0,0,0,0,0,1,0,0,0,0,1628.0,2411.0,-7473.0
1.6450229249720591e+18,frame_45.jpeg,0,0,0,0,0,0,0,1,0,0,0,0,1594.0,2419.0,-7470.0
