timestamp,File Name,a_left_backPose,b_left_backPose,c_left_backPose, ASSEMBLY1_BIMANUAL
1.6461488319711025e+18,frame_581.jpeg,-1004.0,629.0,-6344.0,1
1.6461488320237796e+18,frame_582.jpeg,-1650.0,2442.0,-6873.0,1
1.646148832071858e+18,frame_583.jpeg,-3167.0,4645.0,-7645.0,1
1.6461488321236913e+18,frame_584.jpeg,-1827.0,6417.0,-10966.0,1
1.6461488321719683e+18,frame_585.jpeg,-1141.0,5596.0,-9096.0,1
1.6461488322182602e+18,frame_586.jpeg,1612.0,3600.0,-10081.0,1
1.6461488322733292e+18,frame_587.jpeg,3082.0,1382.0,-7522.0,1
1.64614883232408e+18,frame_588.jpeg,2985.0,33.0,-5913.0,1
1.6461488323719076e+18,frame_589.jpeg,2696.0,-421.0,-5162.0,1
1.6461488324227581e+18,frame_590.jpeg,2219.0,-1096.0,-5094.0,1
1.646148832472211e+18,frame_591.jpeg,3524.0,-1090.0,-5944.0,1
1.6461488325217556e+18,frame_592.jpeg,3927.0,-1276.0,-6407.0,1
1.6461488325715535e+18,frame_593.jpeg,3779.0,-1329.0,-6453.0,1
1.646148832625258e+18,frame_594.jpeg,4388.0,-1540.0,-7060.0,1
1.6461488326722862e+18,frame_595.jpeg,4769.0,-1413.0,-6686.0,1
1.6461488327208246e+18,frame_596.jpeg,4786.0,-801.0,-6607.0,1
1.6461488327709814e+18,frame_597.jpeg,4135.0,-1028.0,-6366.0,1
1.6461488328212262e+18,frame_598.jpeg,4733.0,-1032.0,-6203.0,1
1.6461488328706995e+18,frame_599.jpeg,4767.0,-1197.0,-6379.0,1
1.6461488329223252e+18,frame_600.jpeg,4650.0,-1074.0,-6102.0,1
1.6461488329700897e+18,frame_601.jpeg,5182.0,-1093.0,-6219.0,1
1.6461488330255846e+18,frame_602.jpeg,4802.0,-986.0,-6254.0,1
1.6461488330709514e+18,frame_603.jpeg,4990.0,-1103.0,-6305.0,1
1.6461488331209188e+18,frame_604.jpeg,5059.0,-1595.0,-6234.0,1
1.6461488331702554e+18,frame_605.jpeg,5506.0,-1208.0,-5927.0,1
1.6461488332205253e+18,frame_606.jpeg,5039.0,-1718.0,-5856.0,1
1.6461488332751503e+18,frame_607.jpeg,4184.0,-771.0,-5589.0,1
1.6461488333234478e+18,frame_608.jpeg,4862.0,-1233.0,-6069.0,1
1.6461488333742922e+18,frame_609.jpeg,5523.0,-1928.0,-6424.0,1
1.6461488334245908e+18,frame_610.jpeg,4841.0,-1608.0,-6588.0,1
1.6461488334765601e+18,frame_611.jpeg,2725.0,-1379.0,-6817.0,1
1.646148833520835e+18,frame_612.jpeg,1681.0,-412.0,-7062.0,1
1.646148833575327e+18,frame_613.jpeg,-1868.0,1024.0,-8319.0,1
1.6461488336205798e+18,frame_614.jpeg,-862.0,2365.0,-8913.0,1
1.646148833675392e+18,frame_615.jpeg,-227.0,1219.0,-7330.0,1
1.6461488337201428e+18,frame_616.jpeg,1965.0,1202.0,-6941.0,1
1.6461488337735908e+18,frame_617.jpeg,3536.0,3240.0,-7266.0,1
1.6461488338212534e+18,frame_618.jpeg,3619.0,3611.0,-8384.0,1
1.646148833875087e+18,frame_619.jpeg,2799.0,3429.0,-8282.0,1
1.6461488339240259e+18,frame_620.jpeg,2103.0,2334.0,-7721.0,1
1.6461488339766252e+18,frame_621.jpeg,1074.0,1667.0,-7471.0,1
1.646148834024574e+18,frame_622.jpeg,759.0,784.0,-9042.0,1
1.6461488340784236e+18,frame_623.jpeg,1354.0,775.0,-8626.0,1
1.6461488341255124e+18,frame_624.jpeg,745.0,787.0,-8100.0,1
1.6461488341759905e+18,frame_625.jpeg,2009.0,1597.0,-9996.0,1
1.646148834224013e+18,frame_626.jpeg,4329.0,1860.0,-10707.0,1
1.6461488342761833e+18,frame_627.jpeg,3679.0,868.0,-9984.0,1
1.646148834324487e+18,frame_628.jpeg,4590.0,744.0,-8323.0,1
1.6461488343714765e+18,frame_629.jpeg,3238.0,-790.0,-6157.0,1
1.6461488344265055e+18,frame_630.jpeg,3196.0,-1658.0,-5120.0,1
1.646148834476499e+18,frame_631.jpeg,3233.0,-1798.0,-5119.0,1
1.646148834522152e+18,frame_632.jpeg,3916.0,-2274.0,-4986.0,1
1.6461488345766922e+18,frame_633.jpeg,4296.0,-1639.0,-5269.0,1
1.6461488346233462e+18,frame_634.jpeg,4365.0,-1898.0,-5748.0,1
1.6461488346779986e+18,frame_635.jpeg,4722.0,-1680.0,-5764.0,1
